Date,Open,High,Low,Close,Volume
2020-10-27,79.7835,80.3423,79.139,80.213,24580040
2020-10-26,81.2505,81.912,78.825,79.5225,37065080
2020-10-23,81.3035,82.118,81.0255,82.05,27516880
2020-10-22,79.6525,81.0995,79.25,80.7665,28680840
2020-10-21,78.6665,80.9365,78.5815,79.6655,51366900
2020-10-20,76.3525,78.875,76.2835,77.7965,44851440
2020-10-19,79.023,79.4075,76.4,76.7305,32141500
2020-10-16,78.2925,79.0565,78.15,78.6505,28702740
2020-10-15,77.3575,78.7552,77.2515,77.9565,30816340
2020-10-14,78.9295,79.3842,77.5265,78.404,38619800
2020-10-13,79.1865,79.5,78.16,78.584,32020860
2020-10-12,77.15,79.693,76.6285,78.4575,49651200
2020-10-09,74.735,75.826,74.4725,75.761,28710840
2020-10-08,73.2545,74.5,73.2545,74.2965,23756620
2020-10-07,73.2145,73.448,71.8,73.0145,34923120
2020-10-06,73.779,74.338,72.4295,72.672,24908460
2020-10-05,73.3105,74.4105,73.2135,74.301,22265140
2020-10-02,73.1015,74.16,72.546,72.921,25681420
2020-10-01,74.2135,74.952,73.9605,74.5045,35589940
2020-09-30,73.34,74.4875,72.994,73.48,34032160
2020-09-29,73.5195,73.8332,72.9403,73.4665,19582040
2020-09-28,73.7105,73.84,72.4651,73.226,40158820
2020-09-25,71.6315,72.5,70.667,72.248,26467500
2020-09-24,70.5515,72.1854,70.4925,71.4145,29004320
2020-09-23,72.939,73.048,70.385,70.7605,33147000
2020-09-22,72.5045,73.476,71.7265,73.273,31664020
2020-09-21,72.003,72.418,70.3275,71.558,57776540
2020-09-18,74.9005,75.1502,71.8565,72.9995,62077640
2020-09-17,74.8,75.4149,73.5,74.7765,37595020
2020-09-16,77.777,78.1,75.991,76.045,26245980
2020-09-15,76.8,77.9785,76.5918,77.072,26621640
2020-09-14,76.9503,78.2,75.787,75.964,33931780
2020-09-11,76.8,78.76,74.868,76.036,31941740
2020-09-10,78.032,79.204,76.2902,76.601,32371140
2020-09-09,77.8765,78.45,76.8026,77.848,35494080
2020-09-08,76.6755,78.1933,76.4005,76.6195,52217680
2020-09-04,81.213,82.2555,77.3806,79.552,52171360
2020-09-03,85.4857,85.4857,80.753,82.092,62155260
2020-09-02,83.6888,86.659,83.3165,86.414,50223600
2020-09-01,81.8315,83.2865,81.611,83.0355,36533100
2020-08-31,82.3945,82.3982,81.5155,81.709,36468120
2020-08-28,81.6745,82.3585,81.5375,82.2205,29995640
2020-08-27,82.684,82.75,81.2875,81.7165,37232040
2020-08-26,80.4,82.961,80.18,82.619,71621440
2020-08-25,79.1035,80.581,79.1035,80.411,42641680
2020-08-24,79.699,80.7085,79.0285,79.41,28204580
2020-08-21,78.8515,79.886,78.4002,79.021,28929060
2020-08-20,77.1725,79.2935,76.91,79.0875,34137540
2020-08-19,77.6655,78.684,77.1975,77.3765,33212220
2020-08-18,76.309,78.1235,76.1855,77.93,40541720
2020-08-17,75.7335,76.2805,75.3985,75.899,27572000
2020-08-14,75.783,76.095,75.144,75.3865,27104000
2020-08-13,75.517,76.8625,75.4002,75.9225,29104160
2020-08-12,74.279,75.6193,74.2625,75.331,28753100
2020-08-11,74.622,75.5,73.9,74.016,29087300
2020-08-10,74.359,75.2038,73.654,74.805,25790600
2020-08-07,75.0,75.8423,74.082,74.7245,31556520
2020-08-06,73.5875,75.1195,73.3,75.005,39907360
2020-08-05,73.465,74.1205,73.173,73.6805,39599140
2020-08-04,73.8285,74.278,72.9325,73.2485,38069780
2020-08-03,74.332,74.5235,73.282,73.7225,46630280
2020-07-31,75.2505,75.4475,72.7015,74.148,68580720
2020-07-30,74.85,76.8935,74.611,76.5725,33427920
2020-07-29,75.316,76.5626,75.0665,76.101,22130680
2020-07-28,76.259,76.324,74.883,75.017,34043480
2020-07-27,75.78,77.0485,75.7605,76.51,24919600
2020-07-24,74.9465,75.8818,74.42,75.5935,30888080
2020-07-23,78.3485,78.5935,75.3696,75.784,32552680
2020-07-22,78.025,78.5,77.305,78.4245,18639700
2020-07-21,79.3495,79.3495,77.714,77.921,24372900
2020-07-20,75.763,78.5145,75.18,78.286,31145040
2020-07-17,76.081,76.172,74.921,75.7775,29140200
2020-07-16,75.0,75.9345,74.3155,75.9,30386900
2020-07-15,76.1565,76.7665,74.9,75.682,32213680
2020-07-14,74.5155,76.1475,74.175,76.029,31700320
2020-07-13,77.5,78.8566,75.2621,75.567,36928480
2020-07-10,75.3075,77.1915,74.827,77.087,37134080
2020-07-09,75.3225,76.136,74.4042,75.5495,28466440
2020-07-08,74.716,75.294,74.2815,74.8,24993160
2020-07-07,74.5,75.84,74.1775,74.259,29163440
2020-07-06,74.003,75.3295,73.643,74.785,31279940
2020-07-02,72.347,74.1475,72.321,73.235,37189600
2020-07-01,70.555,72.15,70.491,71.902,35503340
2020-06-30,69.522,70.9325,69.198,70.6805,40847620
2020-06-29,67.909,69.78,67.3505,69.7485,36203600
2020-06-26,71.5695,71.6725,67.5995,67.995,85353960
2020-06-25,71.495,72.145,71.0,72.0665,24609480
2020-06-24,73.0755,73.771,71.4875,71.5985,35120440
2020-06-23,72.782,73.797,72.262,73.2205,28595280
2020-06-22,71.45,72.6375,71.1605,72.593,30848800
2020-06-19,72.2,72.39,71.0675,71.586,63157500
2020-06-18,72.458,72.5705,71.3505,71.798,31638320
2020-06-17,72.358,73.0,71.569,72.556,30992300
2020-06-16,72.261,72.751,71.295,72.136,34232280
2020-06-15,69.54,71.24,69.396,70.9925,30121920
2020-06-12,71.4245,71.85,69.301,70.659,38927340
2020-06-11,72.124,72.7238,70.1,70.192,39826640
2020-06-10,72.977,73.713,72.8135,73.2925,30503060
2020-06-09,72.268,73.4,72.1605,72.808,28184980
2020-06-08,71.117,72.3995,71.117,72.3305,28083560
2020-06-05,70.6585,72.2525,70.3,71.9195,34704880
2020-06-04,71.52,71.948,70.2365,70.609,29685440
2020-06-03,71.915,72.3276,71.4889,71.819,25123720
2020-06-02,71.5275,71.9805,70.9415,71.961,25562560
2020-06-01,70.9195,71.898,70.9,71.591,24342800
2020-05-29,70.847,71.6285,70.6675,71.446,36761180
2020-05-28,69.843,72.042,69.8,70.8365,33879520
